"Result ID","القطاع","السؤال/المسار الذي يصل إليه","وضعك باختصار","وش تسوي الآن؟","الجهة المختصة","المحكمة إن وجدت","الخدمة/المنصة","المتطلبات","المستندات","المدة","الرسوم","الاعتراض","الخطوة التالية","النظام","اللائحة","المادة/المواد","المصدر الرسمي","رابط المصدر","تاريخ آخر تحقق","الثبات","تصنيف التحقق","سبب تصنيف التحقق","مستوى الخطورة القانونية","سبب مستوى الخطورة","هل تحتاج اعتماد محامٍ؟","السؤال المحدد للمحامي","Approved / Needs Change","Lawyer Notes"
"R-EXEC-CUSTODY-VISIT","الأحوال الشخصية والتركات","Q001: وش صار معك؟ ← عندي طلب تنفيذ أو إجراء تنفيذ → Q040: وش وضع التنفيذ؟ ← أبغى أقدم تنفيذ لأول مرة → Q204: وش معك للتنفيذ؟ ← حضانة أو زيارة","لديك سند تنفيذي ينص على الزيارة وتريد تنفيذ الحكم.","إذا لم يوجد طلب تنفيذ فابدأ بـ«تقديم طلب تنفيذ» في الأحوال الشخصية. وإذا كان الطلب قائمًا فاستخدم خدمة الزيارة المتاحة؛ وزارة العدل تعرض «طلب إصدار خطاب زيارة» لطالب التنفيذ لتنفيذ حكم الزيارة المنصوص عليه في السند.","وزارة العدل — قضاء التنفيذ/ناجز.","","طلب إصدار خطاب زيارة | ناجز | طلب إجراء داخل ملف تنفيذ أحوال شخصية لسند زيارة.","سند تنفيذي يتضمن الزيارة، طلب تنفيذ قائم عند استخدام الإجراء اللاحق، واستيفاء الشروط التي تظهر للخدمة في ناجز.","","","","غير منطبق ظاهرًا","بعد إصدار خطاب/إجراء الزيارة ينتقل التنفيذ للجهة المختصة وفق السند، وتتابع حالة الإجراء من طلب التنفيذ.","","","","وزارة العدل — طلب إصدار خطاب زيارة","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_a4dccf2e-bd5c-4bcc-8320-9add6037e783.pdf","2026-09-22","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","HIGH","النتيجة تمس الاختصاص أو طريق الاعتراض/التنفيذ أو مدة/رسومًا مؤثرة.","نعم","هل الإجراء الصحيح طلب داخل ملف التنفيذ أم منازعة تنفيذ أم دعوى مستقلة، وما أثر نظام التنفيذ الجديد عند نفاذه؟","NEEDS REVIEW",""
"R-FAM-CUSTODY-EXEC","الأحوال الشخصية والتركات","Q001: وش صار معك؟ ← أحوال شخصية → Q060: وش المشكلة الأسرية اللي عندك؟ ← حضانة أو زيارة → Q403: وش موضوع الحضانة أو الزيارة؟ ← عندي حكم وأبي تنفيذه → Q074: عندك حكم حضانة أو زيارة؟ ← حكم حضانة","لديك حكم حضانة داخل طلب تنفيذ وتريد تنفيذ الحضانة.","من ناجز، ادخل على طلب التنفيذ الخاص بحكم الحضانة، ثم استخدم خدمة «طلب خدمة حضانة» عند انطباق شروطها.","وزارة العدل — محكمة الأحوال الشخصية/ناجز بحسب نوع الإجراء.","محكمة الأحوال الشخصية","طلب خدمة حضانة | ناجز | تنفيذ سند حضانة","لا توجد مستندات مطلوبة بحسب صفحة الخدمة الرسمية، لكن يجب أن تنطبق شروط الخدمة على طلب التنفيذ، ومنها نوع السند وحالة الطلب وبقية الشروط الإجرائية.","صفحة الخدمة الحالية لا تفرض مستندات إضافية.","لا مهلة سقوط موحدة للخدمة منشورة؛ مدة تنفيذ الخدمة التشغيلية ليست مهلة حق.","لا مبلغ موحد مثبت لهذه النتيجة.","غير منطبق ظاهرًا","يُقدَّم طلب تنفيذ حكم الحضانة من خلال ناجز ضمن طلب التنفيذ القائم، وفق مسار الخدمة وشروطها.","","","","وزارة العدل — طلب خدمة حضانة","https://www.moj.gov.sa/ar/eservices/pages/739b4d6e-c736-4d27-ba3e-a6d17dd561aa.aspx","2026-09-22","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","HIGH","النتيجة تمس الاختصاص أو طريق الاعتراض/التنفيذ أو مدة/رسومًا مؤثرة.","نعم","هل استثناء الأحوال الشخصية من التكاليف يشمل هذا الطلب التنفيذي تحديدًا، وما الاستثناءات؟","NEEDS REVIEW",""
"R-FAM-CUSTODY-VISIT-MODIFY-JUDGMENT","الأحوال الشخصية والتركات","Q001: وش صار معك؟ ← عندي طلب تنفيذ أو إجراء تنفيذ → Q040: وش وضع التنفيذ؟ ← الطلب انتهى أو توقف وما أعرف السبب → Q202: الطلب منتهي أو متوقف مؤقت؟ ← الطلب منتهٍ أو ما أعرف سبب التوقف → QD04: وش اللي مو واضح لك في التنفيذ؟ ← ما أعرف إجراء تنفيذ الحضانة أو الزيارة → Q327: وش تحتاج في تنفيذ الحضانة أو الزيارة؟ ← عندي حكم والتنفيذ قائم لكن أبي أفهم مسار الحضانة/الزيارة → Q331: حكم الحضانة أو الزيارة موجود، وش مشكلتك الآن؟ ← التنفيذ متعثر أو أبي أغيّر أصل حكم الحضانة/الزيارة → Q404: المشكلة في تنفيذ حكم الحضانة/الزيارة أو تبي تغيير أصل الحكم؟ ← أبي أغيّر الحضانة أو مواعيد/طريقة الزيارة نفسها","عندك حكم قائم لكنك تريد تغيير الحضانة أو تنظيم الزيارة نفسه، لا مجرد تنفيذ الحكم الحالي.","ارفع الطلب القضائي المناسب عبر صحيفة الدعوى؛ لا تحاول تعديل مضمون الحكم من داخل طلب التنفيذ.","وزارة العدل — محكمة الأحوال الشخصية/ناجز بحسب نوع الإجراء.","محكمة الأحوال الشخصية","يوجد حكم سابق بالحضانة/الزيارة وطرأت ظروف تستدعي إعادة النظر في تنظيمه | دعوى موضوعية لإعادة النظر في حكم أحوال شخصية عند تغير الظروف، لا مجرد طلب تنفيذ","الحكم القائم + سبب التعديل + الوقائع والمستندات المؤيدة.","الحكم السابق، ما يثبت الظروف الجديدة، وبيانات المحضون والأطراف.","لا مدة رقمية عامة؛ العبرة بحدوث موجب إعادة النظر.","قضايا الأحوال الشخصية مستثناة من التكاليف القضائية عند الدعوى.","غير منطبق ظاهرًا","إذا صدر حكم جديد أو معدل، يُنفذ السند الجديد عبر مسار التنفيذ المناسب.","نظام الأحوال الشخصية - المادة 134","","اللائحة التنفيذية لنظام التنفيذ 76/3 تقرر أنه إذا طرأ ما يقتضي إعادة النظر في الحكم الصادر في مسائل الأحوال الشخصية فتنظر الدعوى من قبل قاضي الموضوع؛ والمادة 134 تحكم تقدير الزيارة وفق مصلحة المحضون.","وزارة العدل — شرح نظام الأحوال الشخصية - المادة 134","https://laws-gateway.moj.gov.sa/apis/legislations/v1/ExportDocument/pdf?Serial=4DC3ARZ00YqnoqpraZMxCQ","2026-09-22","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","HIGH","النتيجة تمس الاختصاص أو طريق الاعتراض/التنفيذ أو مدة/رسومًا مؤثرة.","نعم","هل استثناء الأحوال الشخصية من التكاليف يشمل هذا الطلب التنفيذي تحديدًا، وما الاستثناءات؟","NEEDS REVIEW",""
"R-CRIM-INVESTIGATION-PROCEDURE","القضاء والتنفيذ وناجز","Q001: وش صار معك؟ ← بلاغ أو قضية جنائية → Q090: وش وضعك في البلاغ أو القضية؟ ← تم استدعائي أو أنا متهم/مطلوب → Q134: أنت بأي مرحلة كمتهم؟ ← تحقيق لدى النيابة → Q141: تبي تعرف الإجراء أو وش تقول؟ ← أبي أعرف الإجراء القادم وحقوقي الإجرائية","أنت في مرحلة التحقيق وتحتاج معرفة الإجراء وحقوقك الأساسية.","احتفظ بالاستدعاء ورقم القضية والتزم بالتبليغات. يحق للمتهم الاستعانة بوكيل أو محام للدفاع عنه في التحقيق والمحاكمة، ويمكن للمحامي التعامل مع إجراءات التحقيق ضمن ما يقرره النظام واللائحة.","الشرطة/النيابة العامة قبل الإحالة، والمحكمة الجزائية بعد الإحالة بحسب المرحلة.","","القضية في مرحلة التحقيق لدى النيابة العامة | إجراءات تحقيق جزائي: استجواب/مواجهة/توقيف أو إفراج ثم تصرف في التحقيق","الاستدعاء أو رقم القضية + الهوية + أي أمر أو تبليغ رسمي + بيانات المحامي إن وجد.","رقم القضية، الهوية، الأدلة والمذكرات، والوكالة عند التمثيل.","توجد مدد تفصيلية لبعض إجراءات التحقيق والتوقيف، ولا يجوز اختزالها في رقم واحد لكل التحقيق.","","غير منطبق ظاهرًا","تواصل جهة التحقيق إجراءاتها ثم تتصرف في الدعوى وفق النظام؛ المرحلة التالية تعتمد على القرار الذي يصدر بعد التحقيق.","نظام الإجراءات الجزائية ولائحته التنفيذية","","الباب الرابع ينظم الاستجواب والمواجهة، أمر التوقيف، الإفراج المؤقت، وإنهاء التحقيق والتصرف في الدعوى.","وزارة العدل — نظام الإجراءات الجزائية ولائحته التنفيذية","https://www.moj.gov.sa/Documents/Regulations/pdf/LawOfCriminalProcedureAndItsExecutiveRegulations.pdf","2026-09-20","ثابتة نظاميًا نسبيًا","PARTIALLY VERIFIED","يوجد تدقيق تفصيلي ورابط لنص نظامي رسمي، لكن هذا النص بعينه لم يُعد فتحه ومطابقة جميع ادعاءات النتيجة في هذه المرحلة.","HIGH","النتيجة تمس الاختصاص أو طريق الاعتراض/التنفيذ أو مدة/رسومًا مؤثرة.","نعم","هل الجهة والمحكمة ونوع الإجراء المحددة صحيحة لكل صور الحالة والاستثناءات المحتملة؟","NEEDS REVIEW",""
"R-CRIM-JUDGMENT-PROCEDURE","القضاء والتنفيذ وناجز","Q001: وش صار معك؟ ← بلاغ أو قضية جنائية → Q090: وش وضعك في البلاغ أو القضية؟ ← صدر حكم جزائي → Q139: وش وضع الحكم الجزائي أو الإجراء اللي تحتاجه؟ ← نعم، صدر حكم وأبي أعرف الإجراء بعده","صدر حكم جزائي وتحتاج تحديد الخطوة الإجرائية التالية.","راجع نسخة الحكم وبيانات القضية وتاريخ التبليغ وما يظهر رسميًا عن طريق الاعتراض. لا تعتمد على ملخص الحكم، وإذا كان الاعتراض متاحًا فالتزم بالمهلة النظامية التي تنطبق على حالتك.","الشرطة/النيابة العامة قبل الإحالة، والمحكمة الجزائية بعد الإحالة بحسب المرحلة.","","الاعتراض على الحكم عند انطباقه | إجراء بعد حكم جزائي","الحكم كاملًا + رقم القضية + تاريخ التبليغ + حالة الحكم + أي إشعار اعتراض.","صك الحكم وأسباب الاعتراض والمستندات المؤيدة بحسب القضية.","لا نثبت رقمًا موحدًا هنا دون مطابقة نوع الحكم؛ رحلة القضية تؤكد انتقال اعتراض أحكام الدرجة الأولى إلى الاستئناف.","تتحدد بحسب نوع القضية؛ قضايا الحق العام مستثناة من التكاليف القضائية وفق رحلة القضية.","المسار التالي يتحدد بحسب مرحلة الحكم: قد يكون اعتراضًا بطريق مقرر نظامًا أو انتقال الحكم لمرحلة أخرى وفق النظام.","المسار التالي يتحدد بحسب مرحلة الحكم: قد يكون اعتراضًا بطريق مقرر نظامًا أو انتقال الحكم لمرحلة أخرى وفق النظام.","","","","وزارة العدل — رحلة القضية في وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","2026-09-20","ثابتة نظاميًا نسبيًا","PROCEDURAL GUIDANCE","النتيجة إرشاد تشغيلي مدقق مقابل صفحة جهة رسمية، وليست حكمًا قانونيًا موضوعيًا.","HIGH","النتيجة تمس الاختصاص أو طريق الاعتراض/التنفيذ أو مدة/رسومًا مؤثرة.","نعم","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","NEEDS REVIEW",""
"R-CRIM-OBJECTION-EXEC","القضاء والتنفيذ وناجز","Q001: وش صار معك؟ ← بلاغ أو قضية جنائية → Q090: وش وضعك في البلاغ أو القضية؟ ← صدر حكم جزائي → Q139: وش وضع الحكم الجزائي أو الإجراء اللي تحتاجه؟ ← صدر حكم وأبي الاستئناف/النقض/إعادة النظر → Q614: صدر حكم جزائي: وش نوع الإجراء اللي تحتاجه؟ ← أبي أعرف هل الاعتراض يوقف التنفيذ","تريد معرفة أثر إعادة النظر على تنفيذ الحكم الجزائي.","قبول طلب إعادة النظر لا يوقف التنفيذ في الأصل، مع الاستثناءات والأحكام الواردة في المادة 206؛ افحص نوع العقوبة وقرار المحكمة قبل افتراض وقف التنفيذ.","الشرطة/النيابة العامة قبل الإحالة، والمحكمة الجزائية بعد الإحالة بحسب المرحلة.","","الحكم الجزائي دخل مرحلة التنفيذ ويوجد اعتراض على إجراء التنفيذ لا على أصل الإدانة | طلب/منازعة مرتبطة بتنفيذ الحكم بحسب نوع الإشكال","الحكم، نوع العقوبة، قرار قبول إعادة النظر إن وجد، وحالة التنفيذ.","الحكم، ما يثبت نهائيته/تنفيذه، والمستند الذي يثبت الإشكال.","لا مدة موحدة لكل إشكالات التنفيذ.","","ينتقل الطلب إلى المحكمة أو دائرة التنفيذ المختصة لفحص شروطه واتخاذ الإجراء النظامي.","ينتقل الطلب إلى المحكمة أو دائرة التنفيذ المختصة لفحص شروطه واتخاذ الإجراء النظامي.","نظام الإجراءات الجزائية","","الباب التاسع من نظام الإجراءات الجزائية مخصص للأحكام الواجبة التنفيذ وإجراءاتها؛ طرق الاعتراض على الحكم نفسها منظمة في الباب السابع. | نظام الإجراءات الجزائية — المادة 206","وزارة العدل — نظام الإجراءات الجزائية ولائحته التنفيذية","https://www.moj.gov.sa/Documents/Regulations/pdf/LawOfCriminalProcedureAndItsExecutiveRegulations.pdf","2026-09-22","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","HIGH","النتيجة تمس الاختصاص أو طريق الاعتراض/التنفيذ أو مدة/رسومًا مؤثرة.","نعم","هل الإجراء الصحيح طلب داخل ملف التنفيذ أم منازعة تنفيذ أم دعوى مستقلة، وما أثر نظام التنفيذ الجديد عند نفاذه؟","NEEDS REVIEW",""
"R-DOC-PAYMENT-EXEC-GATE","القضاء والتنفيذ وناجز","Q001: وش صار معك؟ ← أحتاج توثيق أو خدمة بدون نزاع → Q100: وش الخدمة اللي تبيها؟ ← إقرار مالي → Q153: وش نوع الإقرار المالي؟ ← إقرار بسداد دين → Q154: السداد داخل تنفيذ قائم؟ ← نعم، عندي طلب تنفيذ قائم","السداد مرتبط بطلب تنفيذ قائم.","لا تستخدم إقرار السداد العام؛ انتقل لمسار «إثبات السداد» داخل التنفيذ وتحقق من شروط الخدمة.","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","تحديد: إقرار أم تنفيذ | بوابة قرار بين التوثيق والتنفيذ","داخل خدمة إثبات السداد تختار طلب التنفيذ وتدخل قيمة الوفاء وتُرفق ما يثبت السداد. رقم الطلب معلومة للوصول للطلب، وإثبات السداد مرفق تطلبه خطوات الخدمة.","المستندات الإجبارية تختلف بحسب نوع السند التنفيذي.","لا توجد مهلة موحدة لكل السندات في صفحة الخدمة؛ تتحدد بالنظام ونوع السند.","تتحدد بحسب الإجراء النهائي؛ لا مبلغ موحد.","غير منطبق ظاهرًا","يُشعر طالب التنفيذ ويستطيع قبول أو رفض إثبات السداد وفق الخدمة.","","","","وزارة العدل — تقديم طلب تنفيذ","https://www.moj.gov.sa/ar/eservices/pages/1c719954-3463-4754-85e1-1b319b937b86.aspx","2026-09-20","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","HIGH","النتيجة تمس الاختصاص أو طريق الاعتراض/التنفيذ أو مدة/رسومًا مؤثرة.","نعم","هل الإجراء الصحيح طلب داخل ملف التنفيذ أم منازعة تنفيذ أم دعوى مستقلة، وما أثر نظام التنفيذ الجديد عند نفاذه؟","NEEDS REVIEW",""
"R-EXEC-ACTION-TEXT-REVIEW","القضاء والتنفيذ وناجز","Q001: وش صار معك؟ ← عندي طلب تنفيذ أو إجراء تنفيذ → Q040: وش وضع التنفيذ؟ ← عندي طلب تنفيذ قائم → Q041: أنت بأي صفة في التنفيذ؟ ← أنا طالب التنفيذ → Q238: وش تحتاج بصفتك طالب التنفيذ؟ ← ظاهر لي إجراء 34 أو 46 → Q203: عندك نص الإجراء أو بس الرقم؟ ← عندي اسم الإجراء وحالته وتاريخه","عندك تفاصيل الإجراء داخل التنفيذ، مو بس الرقم.","اعتمد اسم الإجراء وحالته وتاريخه، مو الرقم وحده.","وزارة العدل — قضاء التنفيذ/ناجز.","","قراءة قرار وإجراء التنفيذ | طلب/إجراء تنفيذي","للتعرّف على الإجراء راجع اسمه الكامل وحالته وتاريخه وصفتك في طلب التنفيذ. هذه معلومات متابعة وليست مستندات تقديم.","بيانات القرار داخل ملف التنفيذ؛ لا مستند جديد لمجرد المراجعة.","لا توجد مهلة موحدة لمجرد قراءة القرار؛ أي مهلة تتبع القرار نفسه.","لا مبلغ موحد مثبت لهذه النتيجة.","نحدد بعدها المسار الإجرائي الصحيح.","نحدد بعدها المسار الإجرائي الصحيح.","نظام التنفيذ","","","هيئة الخبراء بمجلس الوزراء — نظام التنفيذ","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/c81ba2f1-1bf1-443b-9b1c-a9a700f27110/1","2026-09-20","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","HIGH","النتيجة تمس الاختصاص أو طريق الاعتراض/التنفيذ أو مدة/رسومًا مؤثرة.","نعم","هل الإجراء الصحيح طلب داخل ملف التنفيذ أم منازعة تنفيذ أم دعوى مستقلة، وما أثر نظام التنفيذ الجديد عند نفاذه؟","NEEDS REVIEW",""
"R-EXEC-AD-INVOICE","القضاء والتنفيذ وناجز","Q001: وش صار معك؟ ← عندي طلب تنفيذ أو إجراء تنفيذ → Q040: وش وضع التنفيذ؟ ← عندي طلب تنفيذ قائم → Q041: أنت بأي صفة في التنفيذ؟ ← أنا طالب التنفيذ → Q238: وش تحتاج بصفتك طالب التنفيذ؟ ← عندي إجراء آخر (34/46/إعلان/تقرير مالي...) → Q326: وش الإجراء اللي تحتاجه كطالب تنفيذ؟ ← تعذر التبليغ وأحتاج فاتورة إعلان","تعذر التبليغ بقرار 34 وتبحث عن إجراء إعلان الصحف.","من طلب التنفيذ استخدم «طلب إصدار فاتورة إعلان» إذا كان الإجراء متاحًا لحالتك؛ تصلك الفاتورة وفق مسار الخدمة الرسمي.","وزارة العدل — قضاء التنفيذ/ناجز.","","طلب إصدار فاتورة إعلان | ناجز | طلب إجراء داخل تنفيذ قائم عند تعذر التبليغ بقرار34 ومسار إعلان الصحف المؤهل.","طلب التنفيذ قيد التنفيذ، وقرار 34 معتمد، وحالة إجراء إعلان الصحف «تم انتهاء صلاحية فاتورة إعلان الصحف»، وعدم وجود طلب قائم من نفس نوع الإجراء، مع متطلبات الصفة/الوكالة أو الولاية عند انطباقها.","لا توجد مستندات مطلوبة.","","رسوم الخدمة الإلكترونية: لا يوجد. قيمة فاتورة الإعلان نفسها تصل للمستفيد ولا يوجد مبلغ ثابت نعممه هنا.","غير منطبق ظاهرًا","بعد إصدار الفاتورة وسدادها تابع الطلب لمعرفة تحديث التبليغ والإجراء التالي.","","","","وزارة العدل — طلب إصدار فاتورة إعلان","https://www.moj.gov.sa/ar/eServices/Pages/f05580e3-fadc-4227-bb2c-8500fabcf73f.aspx","2026-09-21","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","HIGH","النتيجة تمس الاختصاص أو طريق الاعتراض/التنفيذ أو مدة/رسومًا مؤثرة.","نعم","هل الإجراء الصحيح طلب داخل ملف التنفيذ أم منازعة تنفيذ أم دعوى مستقلة، وما أثر نظام التنفيذ الجديد عند نفاذه؟","NEEDS REVIEW",""
"R-EXEC-AD-INVOICE-CURRENT","القضاء والتنفيذ وناجز","Q001: وش صار معك؟ ← عندي طلب تنفيذ أو إجراء تنفيذ → Q040: وش وضع التنفيذ؟ ← عندي طلب تنفيذ قائم → Q041: أنت بأي صفة في التنفيذ؟ ← تعذر تبليغ قرار 34 وأبي فاتورة إعلان","تعذر التبليغ بقرار 34 وتحتاج إعلان الصحف.","سدّد فاتورة الإعلان ثم تابع حالة التبليغ والتنفيذ.","وزارة العدل — قضاء التنفيذ/ناجز.","","طلب إصدار فاتورة إعلان | ناجز | طلب إجراء داخل ملف تنفيذ قائم بعد تعذر التبليغ بقرار 34.","قيد التنفيذ + قرار 34 معتمد + حالة إعلان الصحف المؤهلة + لا طلب مماثل.","","","قيمة الإعلان نفسها تظهر في فاتورة الإعلان؛ لا أضع مبلغًا ثابتًا لأن الصفحة الرسمية لا تنشر قيمة موحدة هنا.","بعد استكمال الإعلان/التبليغ تابع مرحلة التنفيذ ومددها والقرار اللاحق بحسب حالة الطلب.","تصدر فاتورة الإعلان وتتابع إجراءات الإعلان والتبليغ.","","","","وزارة العدل — طلب إصدار فاتورة إعلان","https://www.moj.gov.sa/ar/eServices/Pages/f05580e3-fadc-4227-bb2c-8500fabcf73f.aspx","2026-09-22","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","HIGH","النتيجة تمس الاختصاص أو طريق الاعتراض/التنفيذ أو مدة/رسومًا مؤثرة.","نعم","هل الإجراء الصحيح طلب داخل ملف التنفيذ أم منازعة تنفيذ أم دعوى مستقلة، وما أثر نظام التنفيذ الجديد عند نفاذه؟","NEEDS REVIEW",""
"R-EXEC-AFTER34","القضاء والتنفيذ وناجز","Q001: وش صار معك؟ ← عندي طلب تنفيذ أو إجراء تنفيذ → Q040: وش وضع التنفيذ؟ ← الطلب انتهى أو توقف وما أعرف السبب → Q202: الطلب منتهي أو متوقف مؤقت؟ ← الطلب منتهٍ أو ما أعرف سبب التوقف → QD04: وش اللي مو واضح لك في التنفيذ؟ ← ما أعرف الإجراء الظاهر علي → Q332: وش الحالة اللي ظاهرة لك بعد بدء التنفيذ؟ ← صدر قرار 34","صدر قرار 34 على طلب التنفيذ وتريد معرفة المرحلة التالية.","افتح طلب التنفيذ ثم قسم «القرارات» وتحقق من حالة قرار 34 والتبليغ. إذا أصبحت الحالة «انتهت مدة التنفيذ بعد التبليغ» فقد يظهر لطالب التنفيذ مسار طلب إصدار قرار 46 عند تحقق بقية شروط الخدمة.","وزارة العدل — قضاء التنفيذ/ناجز.","","متابعة ما بعد أمر التنفيذ بالمادة 34 | ناجز | بوابة قرار/إجراء تنفيذي","حالة قرار 34 الفعلية داخل ناجز؛ لا تعتمد على وصول رسالة فقط.","أمر التنفيذ وبيانات التبليغ/النشر في الطلب.","20 يومًا هي مدة تعذر الإبلاغ التي بعدها يأمر القاضي بالنشر؛ ثم خمسة أيام للمادة 46 من الإبلاغ/النشر.","لا مبلغ موحد.","غير منطبق ظاهرًا","إذا استوفت الحالة الشروط، تابع الإجراء المتاح على الطلب؛ وإن تعذر التبليغ فقد يكون مسار فاتورة الإعلان ذا صلة بحسب حالة الطلب.","نظام التنفيذ","","","هيئة الخبراء بمجلس الوزراء — نظام التنفيذ","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/c81ba2f1-1bf1-443b-9b1c-a9a700f27110/1","2026-09-21","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","HIGH","النتيجة تمس الاختصاص أو طريق الاعتراض/التنفيذ أو مدة/رسومًا مؤثرة.","نعم","هل الإجراء الصحيح طلب داخل ملف التنفيذ أم منازعة تنفيذ أم دعوى مستقلة، وما أثر نظام التنفيذ الجديد عند نفاذه؟","NEEDS REVIEW",""
"R-EXEC-AMEND-AMOUNT","القضاء والتنفيذ وناجز","Q001: وش صار معك؟ ← عندي طلب تنفيذ أو إجراء تنفيذ → Q040: وش وضع التنفيذ؟ ← عندي طلب تنفيذ قائم → Q041: أنت بأي صفة في التنفيذ؟ ← أنا طالب التنفيذ → Q238: وش تحتاج بصفتك طالب التنفيذ؟ ← عندي إجراء آخر (34/46/إعلان/تقرير مالي...) → Q326: وش الإجراء اللي تحتاجه كطالب تنفيذ؟ ← تعديل مبلغ / إضافة وارث / ممثل نظامي / إجراء آخر → Q330: وش الإجراء الإضافي اللي تحتاجه في طلب التنفيذ؟ ← أحتاج تعديل مبلغ المطالبة","لديك طلب تنفيذ قائم وتحتاج تعديل مبلغ المطالبة.","افتح طلب التنفيذ في ناجز واستخدم خدمة «تعديل مبلغ المطالبة» إذا كانت ظاهرة لحالتك.","وزارة العدل — قضاء التنفيذ/ناجز.","","تعديل مبلغ المطالبة | ناجز | طلب إجراء يقدمه طالب التنفيذ على طلب مالي قائم.","تحقق من رقم طلب التنفيذ والمبلغ الصحيح وسبب التعديل، واتبع متطلبات الخدمة الظاهرة في ناجز.","صفحة الخدمة تقول لا توجد مستندات مطلوبة، بينما خطوات التقديم تتضمن «إرفاق مرفق»؛ لذلك لا يُسمى مستند محدد من عندنا.","","رسوم الخدمة: لا يوجد.","يُرفع طلب تعديل المبلغ داخل مسار التنفيذ ويخضع للتحقق والمعالجة بحسب حالة الطلب.","يُرفع طلب تعديل المبلغ داخل مسار التنفيذ ويخضع للتحقق والمعالجة بحسب حالة الطلب.","","","","وزارة العدل — تعديل مبلغ المطالبة","https://www.moj.gov.sa/ar/eServices/Pages/7b84d5eb-82aa-4b63-b06e-be92c72158ef.aspx","2026-09-22","قابلة للتغير","STALE RISK","نظام تنفيذ جديد نُشر في 2026 وسيحل محل النظام السابق بعد 180 يومًا؛ يلزم تثبيت تاريخ النفاذ وخطة تحديث النتيجة.","HIGH","النتيجة تمس الاختصاص أو طريق الاعتراض/التنفيذ أو مدة/رسومًا مؤثرة.","نعم","هل الإجراء الصحيح طلب داخل ملف التنفيذ أم منازعة تنفيذ أم دعوى مستقلة، وما أثر نظام التنفيذ الجديد عند نفاذه؟","NEEDS REVIEW",""
