"Monitor ID","الفئة","الموضوع","Results المتأثرة","عدد Results","المصدر الرسمي","الوضع الحالي","تاريخ النشر","تاريخ النفاذ","النظام القديم","النظام الجديد","هل يلزم تعديل المشروع الآن؟","Trigger for update","Last checked","Next review"
"LCM-015","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-FAM-CUSTODY-VISIT-MODIFY-JUDGMENT | R-FAM-VISIT-DEEP","2","https://laws-gateway.moj.gov.sa/apis/legislations/v1/ExportDocument/pdf?Serial=4DC3ARZ00YqnoqpraZMxCQ","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-016","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-CRIM-OBJECTION-EXEC","1","https://www.moj.gov.sa/Documents/Regulations/pdf/LawOfCriminalProcedureAndItsExecutiveRegulations.pdf","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-017","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-DOC-PAYMENT-EXEC-GATE | R-EXEC-DEBTOR-DEATH | R-EXEC-DIRECT-ACT | R-EXEC-DIRECT-DELIVERY | R-EXEC-SADAD-INVOICE | R-MONEY-EXEC-APPLY | R-FAM-MAINT-NOT-RECEIVED","7","https://www.moj.gov.sa/ar/eservices/pages/1c719954-3463-4754-85e1-1b319b937b86.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-018","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-ACTION-TEXT-REVIEW | R-EXEC-AFTER34 | R-EXEC-ARTICLE46 | R-EXEC-DISPUTE | R-EXEC-FIVE-DAYS | R-EXEC-LIFT46 | R-EXEC-MERITS-NOT-DISPUTE","7","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/c81ba2f1-1bf1-443b-9b1c-a9a700f27110/1","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-019","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-AD-INVOICE | R-EXEC-AD-INVOICE-CURRENT","2","https://www.moj.gov.sa/ar/eServices/Pages/f05580e3-fadc-4227-bb2c-8500fabcf73f.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-020","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-AMEND-AMOUNT | R-EXEC-AMOUNT-CHANGE","2","https://www.moj.gov.sa/ar/eServices/Pages/7b84d5eb-82aa-4b63-b06e-be92c72158ef.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-021","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-ARTICLE34","1","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_4fa4ff3f-8f52-43c9-b80c-d214d8b5f79d.pdf","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-022","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-DECISION-NOTICE | R-EXEC-INSPECT-ACTION","2","https://www.moj.gov.sa/ar/eServices/Pages/8cc249d5-9f9c-464f-a772-25192e8fdf3b.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-023","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-DIRECT-LAW","1","https://www.moj.gov.sa/Documents/Regulations/pdf/11.pdf","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-024","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-END | R-EXEC-NOT-END-ACTION","2","https://www.moj.gov.sa/ar/eServices/Pages/152ff72e-0c8d-42b2-9f16-3f81e5cf38d2.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-025","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-FIN-REPORT","1","https://www.moj.gov.sa/ar/eservices/pages/2200fd6a-d8d2-4583-a843-2d67839f5a1b.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-026","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-GRACE | R-EXEC-WAIT-GRACE","2","https://www.moj.gov.sa/ar/eServices/Pages/a7eef02b-d9ad-4d3f-9ad0-7b9a67399313.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-027","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-ISSUE34","1","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_16a50df1-aa16-4f77-a61f-c11f5e459fba.pdf","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-028","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-ISSUE46","1","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_1d8a2b5c-38fc-43fa-ad27-0c4a8aac7e07.pdf","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-029","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-LEGAL-REP","1","https://www.moj.gov.sa/ar/eServices/pages/477600c3-653d-42c7-b6ae-ac5484952123.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-030","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-PARTIAL-PAYMENT | R-EXEC-PROOF-PAYMENT","2","https://www.moj.gov.sa/ar/eServices/pages/0fabf9ed-05ba-497e-9e4e-1e227103fc00.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-031","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-PERSONAL-FINANCIAL | R-FAM-MAINT-DEDUCTION","2","https://www.moj.gov.sa/ar/eServices/pages/0756dde6-14de-481a-a6e6-ec9bd642b284.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-032","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-QUERY | R-EXEC-STATUS-CHECK | R-EXECUTION-ROUTE-CHECK | R-MONEY-DEBTOR-STATUS","4","https://www.moj.gov.sa/ar/eServices/pages/9bd2e276-3110-4e32-a00e-330de0fec9a4.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-033","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-REACTIVATE","1","https://www.moj.gov.sa/ar/eServices/Pages/42bc9d16-70e4-43ad-bb8d-0a8e156ffb72.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-034","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-EXEC-TRANSFER-SEIZED","1","https://www.moj.gov.sa/ar/eServices/Pages/9bc63703-4291-4cc6-9615-ac15a3cfce36.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-035","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-JUDGMENT-NO-EXEC","1","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-036","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-LABOR-WAGE-DIRECT-EXEC","1","https://www.hrsd.gov.sa/ministry-services/services/269970","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
"LCM-037","F. نظام جديد منشور ولم يدخل حيز النفاذ","انتقال نظام التنفيذ 2026","R-LAWYER-JUDGMENT-STRATEGY","1","https://www.moj.gov.sa/ar/eServices/Pages/cba332a0-28b8-4ce0-ab00-ef4ddeb9ab64.aspx","النظام السابق مطبق حتى ثبوت تاريخ نفاذ النظام الجديد وأحكامه الانتقالية.","2026-05-01","بعد 180 يومًا من النشر — يثبتها المحامي رسميًا","نظام التنفيذ السابق وتعديلاته","نظام التنفيذ المنشور في أم القرى عام 2026","لا قبل ثبوت النفاذ والانطباق؛ جهّز تحديثًا مؤرخًا.","بلوغ تاريخ النفاذ ونشر اللائحة/الأحكام الانتقالية.","2026-09-23","2026-10-15"
