"Decision ID","الموضوع","التخصص","Results المتأثرة","عدد Results","السؤال القانوني","النظام","المادة","المصدر الرسمي","الوضع الحالي","مستوى الخطورة","Recommendation from audit","Lawyer Decision","Approved wording","Date approved","Lawyer name / reference","Requires future monitoring?","Review date"
"LD-011","المدد النظامية — نظام الإثبات","القضاء العام والمرافعات","R-EVID-BURDEN","1","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","نظام الإثبات","المواد 2–3","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/2716057c-c097-4bad-8e1e-ae1400c678d5/1","PARTIALLY VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-012","طرق الاعتراض والمدد — نظام المعاملات المدنية","القضاء العام والمرافعات","R-CIVIL-INVALID-CONTRACT","1","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","نظام المعاملات المدنية","نظام المعاملات المدنية ينظم إنشاء العقد وانتهائه وبطلانه، مع عدم الإخلال بالإجراءات الشكلية والاختصاصات المقررة في الأنظمة الخاصة. | المواد 72 و75 و77–85","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1","VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-013","الاختصاص والجهة — نظام المعاملات المدنية","القضاء العام والمرافعات","R-CIVIL-RESCISSION-CLAUSE","1","هل الجهة والمحكمة ونوع الإجراء المحددة صحيحة لكل صور الحالة والاستثناءات المحتملة؟","نظام المعاملات المدنية","المادة 108: يجوز الاتفاق على حق الدائن في فسخ العقد عند إخلال المدين دون حكم قضائي، ولا يعفي ذلك من الإعذار إلا إذا اتفق صراحة على الإعفاء. | المادة 108","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1","VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-014","التنفيذ — دعوى أم طلب أم منازعة وأثر نظام التنفيذ الجديد","التنفيذ","R-PROC-CASSATION-STAY | R-REAL-GENERAL-COURT | R-LAWYER-JUDGMENT-STRATEGY | R-PROC-RECONSIDERATION-STAY | R-SP-ZATCA-WAIT | R-CIVIL-LEASE-DAMAGE | R-CIVIL-LEASE-DELIVERY | R-CIVIL-LEASE-END | R-CIVIL-LEASE-HOLDOVER | R-CIVIL-LEASE-RENT | R-CIVIL-LEASE-SUBLEASE | R-CIVIL-LEASE-TENANT-DAMAGE | R-CIVIL-GIFT-CONDITION | R-CIVIL-GIFT-FORMALITY | R-CIVIL-GIFT-NONOWNER | R-CIVIL-GIFT-REVOCATION | R-CIVIL-LOAN-EQUIVALENT | R-CIVIL-LOAN-NO-TERM | R-CIVIL-SETTLEMENT-DEBT | R-CIVIL-SETTLEMENT-EFFECT | R-CIVIL-SETTLEMENT-UNKNOWN | R-MONEY-DEBTOR-STATUS | R-MUN-COMMITTEE-JUDICIAL","23","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","نظام المرافعات الشرعية | نظام المعاملات المدنية: الهلاك الكلي يفسخ العقد من تلقاء نفسه؛ والهلاك الجزئي أو نقص الانتفاع غير الناشئ عن المستأجر يجيز طلب الفسخ أو إنقاص الأجرة. نظام المعاملات المدنية | نظام المعاملات المدنية: التسليم يكون بالتمكين من الانتفاع، ولا تستحق الأجرة عن مدة سبقت التسليم إذا لم يكن التأخير بسبب المستأجر. نظام المعاملات المدنية | نظام المعاملات المدنية: الأصل انتهاء الإيجار بانقضاء مدته ما لم يتجدد، ويجوز طلب الفسخ لعذر طارئ متعلق بأحد المتعاقدين مع التعويض عن الضرر وفق المادة 442. نظام المعاملات المدنية | نظام المعاملات المدنية: الرد واجب عند انتهاء العقد، والبقاء دون حق يرتب أجرة المثل؛ لكن استمرار الانتفاع برضا المؤجر قد يؤدي إلى تجدد العقد وفق المادة 440. نظام المعاملات المدنية | نظام المعاملات المدنية: يجوز تعجيل الأجرة أو تأجيلها أو تقسيطها، وعند غياب اتفاق على المواعيد تطبق قاعدة المادة 429. نظام المعاملات المدنية | نظام المعاملات المدنية: لا يجوز التأجير من الباطن أو التنازل إلا بإذن المؤجر أو إجازته، والمأذون له يتقيد بقيود المنفعة نوعًا وزمنًا. نظام المعاملات المدنية | نظام المعاملات المدنية: المستأجر يحافظ على المأجور ويعوض عن ضرر تعديه أو تقصيره، ويرده بالحالة التي تسلمه بها مع استثناء ما يقتضيه الاستعمال المعتاد. نظام المعاملات المدنية | نظام المعاملات المدنية | نظام إجراءات التراخيص البلدية","نظام المرافعات الشرعية — المادة 196 | نظام المرافعات الشرعية — المادة 202/2 | المادتان 420 و421 من نظام المعاملات المدنية: الهلاك الكلي يفسخ العقد من تلقاء نفسه؛ والهلاك الجزئي أو نقص الانتفاع غير الناشئ عن المستأجر يجيز طلب الفسخ أو إنقاص الأجرة. | المادتان 416 و429 من نظام المعاملات المدنية: التسليم يكون بالتمكين من الانتفاع، ولا تستحق الأجرة عن مدة سبقت التسليم إذا لم يكن التأخير بسبب المستأجر. | المادتان 440 و442 من نظام المعاملات المدنية: الأصل انتهاء الإيجار بانقضاء مدته ما لم يتجدد، ويجوز طلب الفسخ لعذر طارئ متعلق بأحد المتعاقدين مع التعويض عن الضرر وفق المادة 442. | المادتان 435 و440 من نظام المعاملات المدنية: الرد واجب عند انتهاء العقد، والبقاء دون حق يرتب أجرة المثل؛ لكن استمرار الانتفاع برضا المؤجر قد يؤدي إلى تجدد العقد وفق المادة 440. | المادتان 410 و429 من نظام المعاملات المدنية: يجوز تعجيل الأجرة أو تأجيلها أو تقسيطها، وعند غياب اتفاق على المواعيد تطبق قاعدة المادة 429. | المادتان 437 و438 من نظام المعاملات المدنية: لا يجوز التأجير من الباطن أو التنازل إلا بإذن المؤجر أو إجازته، والمأذون له يتقيد بقيود المنفعة نوعًا وزمنًا. | المادتان 430 و435 من نظام المعاملات المدنية: المستأجر يحافظ على المأجور ويعوض عن ضرر تعديه أو تقصيره، ويرده بالحالة التي تسلمه بها مع استثناء ما يقتضيه الاستعمال المعتاد. | المادتان 367 و376 | المواد 366–368 | المادة 369 | المواد 376–381 | المادة 388 | المادة 387 | المادة 397 | المواد 391–399 | المادة 395","https://www.moj.gov.sa/ar/eServices/pages/aee148d0-b7f7-43eb-b1cf-8eabf4d8b10d.aspx | https://www.ejar.sa/ar/faqs | https://www.moj.gov.sa/ar/eServices/Pages/cba332a0-28b8-4ce0-ab00-ef4ddeb9ab64.aspx | https://www.moj.gov.sa/ar/eServices/pages/34a53f98-57e0-4f8b-9bad-78a095ebae4b.aspx | https://zatca.gov.sa/ar/eServices/Pages/eServices-021.aspx | https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1 | https://www.moj.gov.sa/ar/eServices/pages/9bd2e276-3110-4e32-a00e-330de0fec9a4.aspx | https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/1dd4c3d4-f4e9-4c15-852f-a9a700f21cab/1","STALE RISK | HUMAN DECISION","CRITICAL","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","YES",""
"LD-015","التنفيذ — دعوى أم طلب أم منازعة وأثر نظام التنفيذ الجديد","التنفيذ","R-SP-CMA-COMPLAINT | R-SP-CMA-WAIT | R-SP-FINANCE-COMMITTEE | R-CIVIL-RESCISSION-BREACH","4","هل الجهة والمحكمة ونوع الإجراء المحددة صحيحة لكل صور الحالة والاستثناءات المحتملة؟","نظام التمويل العقاري | نظام المعاملات المدنية","المواد 161 و164 و170 و171 و176 و177 بحسب الطلب: التنفيذ عند الاستحقاق، التنفيذ العيني، التعويض عن عدم الوفاء/التأخير، والإعذار واستثناءاته. | المواد 107 و111–114","https://crsd.org.sa/ar/Guidelines/Documents/%D8%A7%D9%84%D8%AF%D9%84%D9%8A%D9%84%20%D8%A7%D9%84%D8%A5%D8%B1%D8%B4%D8%A7%D8%AF%D9%8A.pdf | https://rulebook.sama.gov.sa/ar/المادة-الثالثة-عشرة-13 | https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1","HUMAN DECISION | STALE RISK","CRITICAL","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","YES",""
"LD-016","القضاء الإداري — التظلم السابق والاختصاص والمدة","التنفيذ","R-ADMIN-GOV-CONTRACT","1","هل التظلم السابق واجب؟ وما المدة وبدايتها وأثر فواتها والاستثناءات لهذه الحالة تحديدًا أمام ديوان المظالم؟","نظام ديوان المظالم، ومع التنفيذ نظام التنفيذ أمام ديوان المظالم نظام ديوان المظالم","المادة 13 من نظام ديوان المظالم، ومع التنفيذ نظام التنفيذ أمام ديوان المظالم","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/5d3379bd-3547-494e-9fbd-a9a700f26e24/1","PARTIALLY VERIFIED","CRITICAL","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-017","التنفيذ — دعوى أم طلب أم منازعة وأثر نظام التنفيذ الجديد","التنفيذ","R-CRIM-OBJECTION-EXEC | R-DOC-PAYMENT-EXEC-GATE | R-EXEC-ACTION-TEXT-REVIEW | R-EXEC-AD-INVOICE | R-EXEC-AD-INVOICE-CURRENT | R-EXEC-AFTER34 | R-EXEC-AMEND-AMOUNT | R-EXEC-AMOUNT-CHANGE | R-EXEC-ARTICLE34 | R-EXEC-ARTICLE46 | R-EXEC-DEBTOR-DEATH | R-EXEC-DECISION-NOTICE | R-EXEC-DIRECT-ACT | R-EXEC-DIRECT-DELIVERY | R-EXEC-DIRECT-LAW | R-EXEC-DISPUTE | R-EXEC-END | R-EXEC-FIN-REPORT | R-EXEC-FIVE-DAYS | R-EXEC-GRACE | R-EXEC-INSPECT-ACTION | R-EXEC-ISSUE34 | R-EXEC-ISSUE46 | R-EXEC-LEGAL-REP | R-EXEC-LIFT46 | R-EXEC-MERITS-NOT-DISPUTE | R-EXEC-NOT-END-ACTION | R-EXEC-PARTIAL-PAYMENT | R-EXEC-PERSONAL-FINANCIAL | R-EXEC-PROOF-PAYMENT | R-EXEC-QUERY | R-EXEC-REACTIVATE | R-EXEC-SADAD-INVOICE | R-EXEC-STATUS-CHECK | R-EXEC-TRANSFER-SEIZED | R-EXEC-WAIT-GRACE | R-EXECUTION-ROUTE-CHECK | R-JUDGMENT-NO-EXEC | R-LABOR-WAGE-DIRECT-EXEC | R-MONEY-EXEC-APPLY","40","هل الإجراء الصحيح طلب داخل ملف التنفيذ أم منازعة تنفيذ أم دعوى مستقلة، وما أثر نظام التنفيذ الجديد عند نفاذه؟","نظام الإجراءات الجزائية | نظام التنفيذ | نظام التنفيذ ولائحته | نظامي","الباب التاسع من نظام الإجراءات الجزائية مخصص للأحكام الواجبة التنفيذ وإجراءاتها؛ طرق الاعتراض على الحكم نفسها منظمة في الباب السابع. | نظام الإجراءات الجزائية — المادة 206 | نظام التنفيذ — المادة 34 | نظام التنفيذ — المادة 46","https://www.moj.gov.sa/Documents/Regulations/pdf/LawOfCriminalProcedureAndItsExecutiveRegulations.pdf | https://www.moj.gov.sa/ar/eservices/pages/1c719954-3463-4754-85e1-1b319b937b86.aspx | https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/c81ba2f1-1bf1-443b-9b1c-a9a700f27110/1 | https://www.moj.gov.sa/ar/eServices/Pages/f05580e3-fadc-4227-bb2c-8500fabcf73f.aspx | https://www.moj.gov.sa/ar/eServices/Pages/7b84d5eb-82aa-4b63-b06e-be92c72158ef.aspx | https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_4fa4ff3f-8f52-43c9-b80c-d214d8b5f79d.pdf | https://www.moj.gov.sa/ar/eServices/Pages/8cc249d5-9f9c-464f-a772-25192e8fdf3b.aspx | https://www.moj.gov.sa/Documents/Regulations/pdf/11.pdf | https://www.moj.gov.sa/ar/eServices/Pages/152ff72e-0c8d-42b2-9f16-3f81e5cf38d2.aspx | https://www.moj.gov.sa/ar/eservices/pages/2200fd6a-d8d2-4583-a843-2d67839f5a1b.aspx | https://www.moj.gov.sa/ar/eServices/Pages/a7eef02b-d9ad-4d3f-9ad0-7b9a67399313.aspx | https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_16a50df1-aa16-4f77-a61f-c11f5e459fba.pdf | https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_1d8a2b5c-38fc-43fa-ad27-0c4a8aac7e07.pdf | https://www.moj.gov.sa/ar/eServices/pages/477600c3-653d-42c7-b6ae-ac5484952123.aspx | https://www.moj.gov.sa/ar/eServices/pages/0fabf9ed-05ba-497e-9e4e-1e227103fc00.aspx | https://www.moj.gov.sa/ar/eServices/pages/0756dde6-14de-481a-a6e6-ec9bd642b284.aspx | https://www.moj.gov.sa/ar/eServices/pages/9bd2e276-3110-4e32-a00e-330de0fec9a4.aspx | https://www.moj.gov.sa/ar/eServices/Pages/42bc9d16-70e4-43ad-bb8d-0a8e156ffb72.aspx | https://www.moj.gov.sa/ar/eServices/Pages/9bc63703-4291-4cc6-9615-ac15a3cfce36.aspx | https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx | https://www.hrsd.gov.sa/ministry-services/services/269970","STALE RISK","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","YES",""
"LD-018","التنفيذ — دعوى أم طلب أم منازعة وأثر نظام التنفيذ الجديد","التنفيذ","R-SP-ADMIN-GRIEVANCE-PENDING | R-SP-ADMIN-GRIEVANCE-RESPONSE | R-SP-ADMIN-START | R-ADMIN-EXEC-DEADLINES | R-ADMIN-EXEC-DEMAND | R-ADMIN-EXEC-INSTRUMENT | R-ADMIN-EXEC-JUDGMENT | R-SP-ADMIN-CASE | R-SP-ADMIN-JUDGMENT","9","هل التظلم السابق واجب؟ وما المدة وبدايتها وأثر فواتها والاستثناءات لهذه الحالة تحديدًا أمام ديوان المظالم؟","نظام المرافعات أمام ديوان المظالم | نظام التنفيذ أمام ديوان المظالم","نظام التنفيذ أمام ديوان المظالم — المادتان 8 و9 واللائحة التنفيذية. | نظام التنفيذ أمام ديوان المظالم — المواد 8 و10 واللائحة التنفيذية. | المادة 4 | المواد 2–4","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f2f7b465-b576-4f47-a8e7-a9a700f27202/1 | https://www.bog.gov.sa/EServices/Pages/tanfeedh.aspx | https://www.bog.gov.sa/MediaCenter/Documents/ERISBTBG.pdf | https://www.bog.gov.sa/EServices/Pages/submit-judicial-requests.aspx | https://www.bog.gov.sa/EServices/Pages/moen.aspx","STALE RISK","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","YES",""
"LD-019","التحكيم — البطلان والتنفيذ والاختصاص والمهلة","التنفيذ","R-COMM-ARBITRATION-ENFORCE | R-COMM-ARBITRATION-AWARD-EXEC | R-COMM-ARBITRATION-NULLITY-EXEC","3","هل تتحقق ولاية المحكمة التجارية وشروط الإخطار السابق ومدة عدم سماع الدعوى والحد المالي في هذه الوقائع؟","نظام التحكيم","المواد 52-55: الحجية والتنفيذ والمرفقات وشروط الأمر بالتنفيذ؛ ومحكمة التنفيذ تنفذ حكم المحكمين المذيل بأمر التنفيذ. | نظام التحكيم — المادتان 52–53 | المواد 49-55 تنظم حصرية دعوى البطلان وأسبابها ومددها وأثرها على التنفيذ؛ رفض أمر التنفيذ يجوز التظلم منه خلال 30 يومًا من صدوره. | نظام التحكيم — المادة 54","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/5535039e-13da-43f6-8f53-a9a700f26485/1 | https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/7e95b5f8-5f24-4d6a-8f39-a9a700f16e0b/1","STALE RISK","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","YES",""
"LD-020","الاختصاص التجاري — المادة 16 والإخطار السابق وعدم سماع الدعوى","التنفيذ","R-COMM-NEGOTIABLE-CHECK | R-COMM-NEGOTIABLE-DISPUTE","2","هل تتحقق ولاية المحكمة التجارية وشروط الإخطار السابق ومدة عدم سماع الدعوى والحد المالي في هذه الوقائع؟","نظام المحاكم التجارية","","https://laws.boe.gov.sa/Files/Download/?attId=d0d4fbe5-e571-4ecb-8b81-adbb01263651","VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-021","التكاليف القضائية — التنفيذ","التنفيذ","R-DOMESTIC-SETTLED | R-CIVIL-CONTRACTOR-TERMINATION","2","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","نظام المعاملات المدنية","المادتان 466 و476: لصاحب العمل عند الإخلال إعذار المقاول للتصحيح خلال مدة معقولة ثم الاستعانة بغيره/طلب الفسخ، ويجوز الفسخ حالًا في الحالات المحددة؛ ولكل متعاقد طلب الفسخ لعذر طارئ متعلق بالتنفيذ مع التعويض عن ضرر الفسخ. | المادة 476","https://www.hrsd.gov.sa/knowledge-centre/decisions-and-regulations/regulation-and-procedures/%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D9%88%D8%A7%D9%84%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%86%D8%B8%D9%85%D8%A9-%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D8%A9-%D8%AE%D9%84%D8%A7%D9%81%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%84%D8%A9 | https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1","PARTIALLY VERIFIED | VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
"LD-022","المدد النظامية — التنفيذ","التنفيذ","R-LABOR-SETTLED","1","ما مقدار المدة وبدايتها ونهايتها والاستثناءات وأثر فواتها وفق النص المطبق على هذه الحالة؟","","","https://www.hrsd.gov.sa/ministry-services/services/269970","PARTIALLY VERIFIED","HIGH","لا تعدّل آليًا؛ اعتمد قاعدة واحدة ثم طبّقها على جميع Results المرتبطة.","","","","","NO",""
