"result_id","package","risk","authority","court","service","platform","deadline","costs","articles","source_id","source_authority","source_title","source_url","last_verified","automated_review","human_status","human_notes"
"R-EXEC-END","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة العدل — قضاء التنفيذ/ناجز.","","إنهاء طلب التنفيذ","ناجز","","رسوم الخدمة الإلكترونية: لا يوجد.","""""","SRC-RBR-END","وزارة العدل","إنهاء طلب التنفيذ","https://www.moj.gov.sa/ar/eServices/Pages/152ff72e-0c8d-42b2-9f16-3f81e5cf38d2.aspx","2026-09-22","REVIEWED","NEEDS_REVIEW",""
"R-EXEC-NOT-END-ACTION","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة العدل — قضاء التنفيذ/ناجز.","","إنهاء طلب التنفيذ","ناجز","","","""""","SRC66-END","وزارة العدل","إنهاء طلب التنفيذ","https://www.moj.gov.sa/ar/eServices/Pages/152ff72e-0c8d-42b2-9f16-3f81e5cf38d2.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-EXEC-ADD-HEIR","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة العدل — قضاء التنفيذ/ناجز.","","إضافة وارث في طلبات تنفيذ مورثه","ناجز","","رسوم الخدمة: لا يوجد.","""""","SRC-RBR-HEIR65","وزارة العدل","إضافة وارث في طلبات تنفيذ مورثه","https://www.moj.gov.sa/ar/eservices/pages/d3061fe4-6bad-4bc1-b38d-63217c7a76b3.aspx","2026-09-22","REVIEWED","NEEDS_REVIEW",""
"R-EXEC-PERSONAL-FINANCIAL","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة العدل — قضاء التنفيذ/ناجز.","","تنفيذ الاستقطاع","ناجز","","رسوم الخدمة: لا يوجد.","""""","SRC-RBR-EXEC-DEDUCT","وزارة العدل","تنفيذ الاستقطاع","https://www.moj.gov.sa/ar/eServices/pages/0756dde6-14de-481a-a6e6-ec9bd642b284.aspx","2026-09-22","REVIEWED","NEEDS_REVIEW",""
"R-EXEC-CUSTODY-VISIT","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة العدل — قضاء التنفيذ/ناجز.","","طلب إصدار خطاب زيارة","ناجز","","","""""","SRC-RBR-EXEC-VISIT","وزارة العدل","طلب إصدار خطاب زيارة","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_a4dccf2e-bd5c-4bcc-8320-9add6037e783.pdf","2026-09-22","REVIEWED","NEEDS_REVIEW",""
"R-EXEC-INSPECT-ACTION","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة العدل — قضاء التنفيذ/ناجز.","","التحقق من طلب التنفيذ","ناجز","خدمة تحقق إلكترونية وليست مهلة قانونية.","لا رسوم مثبتة لهذه الخطوة.","""""","SRC73-VERIFY","وزارة العدل","التحقق من طلب التنفيذ","https://www.moj.gov.sa/ar/eServices/Pages/8cc249d5-9f9c-464f-a772-25192e8fdf3b.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-NAJIZ-WAIT-AUDIT","02-القضاء-والتنفيذ-والأحوال","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","تدقيق طلب القضية","ناجز","لا نضع مدة سقوط لمجرد مرحلة التدقيق.","لا رسوم مستقلة لمتابعة التدقيق.","""""","SRC73-CASE","وزارة العدل","رحلة القضية في وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-NAJIZ-COMPLETE-DEFICIENCY","02-القضاء-والتنفيذ-والأحوال","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","استكمال نواقص طلب القضية","","التزم بأي مدة تظهر في الطلب/الإشعار؛ لا نخترع مدة عامة.","لا رسوم مستقلة لمجرد استكمال النقص.","""""","SRC73-CASE","وزارة العدل","رحلة القضية في وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-NAJIZ-READ-REASON","02-القضاء-والتنفيذ-والأحوال","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","قراءة سبب إعادة الطلب","ناجز","أي مهلة تظهر في الطلب يجب الالتزام بها؛ لا مدة موحدة هنا.","لا رسوم لمجرد قراءة الحالة.","""""","SRC73-CASE","وزارة العدل","رحلة القضية في وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-CASE-MONITOR","01-القائد-القانوني-العام","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","متابعة القضية في ناجز","ناجز","لا توجد مدة سقوط لمجرد الاستعراض؛ يجب الالتزام بالمواعيد والمهل التي تظهر أو يقررها النظام/الدائرة.","لا رسوم مستقلة لمجرد متابعة القضية.","""""","SRC72-CASETRIP","وزارة العدل","رحلة القضية في وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-CASE-HEARING","01-القائد-القانوني-العام","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","متابعة موعد الجلسة","ناجز","موعد الجلسة هو الموعد المحدد في القضية؛ وعند التأجيل ترسل الوزارة إشعارًا بالموعد القادم.","لا رسوم مستقلة لمتابعة موعد الجلسة.","""""","SRC72-CASETRIP","وزارة العدل","رحلة القضية في وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","2026-09-22","REVIEWED","NEEDS_REVIEW",""
"R-CASE-FIRST-DEFENSE-MEMO","01-القائد-القانوني-العام","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","طلب مذكرة الدفاع الأولى","ناجز","صفحة الخدمة تشترط قبل الجلسة الأولى؛ SLA يذكر خلال 5 أيام من قيد الدعوى كمدة خدمة/إطار منشور ويجب عدم خلطهما.","رسوم الخدمة: لا يوجد.","""""","SRC68-DEFENSE","وزارة العدل","طلب مذكرة الدفاع الأولى","https://www.moj.gov.sa/ar/eServices/pages/bcdcda2b-1b77-428b-ae80-0dfc04bf07fa.aspx","2026-09-22","REVIEWED","NEEDS_REVIEW",""
"R-CASE-DEPOSIT-MEMO","01-القائد-القانوني-العام","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","طلب إيداع مذكرة","ناجز","SLA فوري؛ لا توجد مهلة سقوط عامة منشورة للخدمة.","رسوم الخدمة: لا يوجد.","""""","SRC68-MEMO","وزارة العدل","طلب إيداع مذكرة","https://www.moj.gov.sa/ar/eservices/pages/d37abd59-ae3b-4881-9a13-4322bac124e1.aspx","2026-09-22","REVIEWED","NEEDS_REVIEW",""
"R-JUDGMENT-CHECK-STAGE","02-القضاء-والتنفيذ-والأحوال","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","تحديد مرحلة الحكم","ناجز","المدد الاعتراضية نظامية وتختلف حسب الطريق؛ لا تُستنتج من SLA.","التكاليف تختلف حسب طريق الاعتراض؛ لا مبلغ موحد للبوابة.","""""","SRC73-CASE","وزارة العدل","رحلة القضية في وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-JUDGMENT-OBJECT","02-القضاء-والتنفيذ-والأحوال","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","الاعتراض على الحكم","ناجز","30 يومًا للاستئناف/التدقيق، و10 أيام للأحكام المستعجلة وفق المادة 187.","يخضع لنظام التكاليف القضائية عند انطباقه.","""""","SRC74-CPL","هيئة الخبراء بمجلس الوزراء","نظام المرافعات الشرعية","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f0eaae46-9f84-40ee-815e-a9a700f268b3/1","2026-09-22","REVIEWED","NEEDS_REVIEW",""
"R-JUDGMENT-DEADLINE-REVIEW","02-القضاء-والتنفيذ-والأحوال","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","مراجعة مدة الاعتراض","","الاستئناف 30 يومًا و10 للمستعجل؛ النقض 30 يومًا و15 للمستعجل.","لا تكلفة مستقلة لمجرد حساب المدة.","""""","SRC74-CPL","هيئة الخبراء بمجلس الوزراء","نظام المرافعات الشرعية","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f0eaae46-9f84-40ee-815e-a9a700f268b3/1","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-JUDGMENT-OPPONENT-APPEAL","02-القضاء-والتنفيذ-والأحوال","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","الاعتراض على الحكم","ناجز","","إذا كان طلب الاستئناف خاضعًا لنظام التكاليف القضائية: 5,000 ريال وفق المادة السادسة من اللائحة التنفيذية، مع مراعاة الاستثناءات والإعفاءات.","""""","SRC-MOJ-CASE-TRIP","وزارة العدل","رحلة القضية في وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-JUDGMENT-APPEAL-STATUS","02-القضاء-والتنفيذ-والأحوال","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","محكمة الاستئناف","متابعة طلب الاعتراض على الحكم","ناجز","المتابعة مستمرة بعد تقديم الاعتراض؛ رحلة القضية تذكر الإحالة للاستئناف بعد انتهاء المدة الاعتراضية.","لا رسوم مستقلة لمجرد متابعة حالة طلب سبق تقديمه.","""""","SRC72-CASETRIP","وزارة العدل","رحلة القضية في وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-JUDGMENT-CASSATION","02-القضاء-والتنفيذ-والأحوال","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","طلب النقض","ناجز","30 يومًا للنقض، و15 يومًا للأحكام المستعجلة وفق المادة 194.","طلب النقض يخضع للتكاليف القضائية عند انطباق النظام؛ لا نكرر مبلغًا دون تحقق مستقل في هذه الدفعة.","""""","SRC74-CASS","وزارة العدل","طلب النقض","https://www.moj.gov.sa/ar/eServices/pages/aee148d0-b7f7-43eb-b1cf-8eabf4d8b10d.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-JUDGMENT-SUPREME-STATUS","02-القضاء-والتنفيذ-والأحوال","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","المحكمة العليا","متابعة طلب النقض","ناجز","المتابعة بعد تقديم النقض؛ رحلة القضية تذكر الإحالة للمحكمة العليا بعد انتهاء المدة الاعتراضية.","لا رسوم مستقلة لمجرد متابعة طلب قائم.","""""","SRC72-CASETRIP","وزارة العدل","رحلة القضية في وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-JUDGMENT-NO-EXEC","02-القضاء-والتنفيذ-والأحوال","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","الحكم غير قابل للتنفيذ في مرحلته الحالية","ناجز","لا توجد مدة موحدة لهذه البوابة؛ تتبع المدد الاعتراضية ذات الصلة.","لا رسوم لمجرد فحص الحالة.","""""","SRC74-CASE","وزارة العدل","رحلة القضية في وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-JUDGMENT-RECONSIDERATION-REVIEW","02-القضاء-والتنفيذ-والأحوال","LOW","المحكمة أو الجهة القضائية المختصة بحسب نوع الدعوى والمرحلة المبينة في النتيجة.","","التماس إعادة النظر","ناجز","","إذا كان الطلب خاضعًا لنظام التكاليف القضائية: 10,000 ريال لطلب التماس إعادة النظر وفق المادة السادسة من اللائحة التنفيذية، مع مراعاة الاستثناءات والإعفاءات. ويُمهل طالب الالتماس 30 يومًا من تاريخ قيد الطلب لسداد التكاليف المحددة وفق المادة 12 من النظام؛ وهذه مهلة سداد مستقلة عن مهلة تقديم الالتماس.","""""","SRC-MOJ-RECONSIDERATION","وزارة العدل","التماس إعادة النظر","https://www.moj.gov.sa/ar/eServices/pages/34a53f98-57e0-4f8b-9bad-78a095ebae4b.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-LAWYER-JUDGMENT-STRATEGY","02-القضاء-والتنفيذ-والأحوال","LOW","الجهة القضائية أو الرسمية المحددة في المصدر المرتبط بالنتيجة.","","","","","","""""","SRC-MOJ-JUDGMENT-OBJECT","وزارة العدل","الاعتراض على الحكم","https://www.moj.gov.sa/ar/eServices/Pages/cba332a0-28b8-4ce0-ab00-ef4ddeb9ab64.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-LABOR-START-SETTLEMENT","03-الإداري-والعمالي-والتجاري","LOW","وزارة الموارد البشرية للتسوية الودية ثم المحكمة العمالية عند تعذر الصلح.","المحكمة العمالية","التسوية الودية للخلافات العمالية","","21 يوم عمل من تاريخ أول جلسة للوصول لتسوية أو الإحالة وفق وصف الخدمة.","الخدمة مجانية.","""""","SRC75-HRSD","وزارة الموارد البشرية والتنمية الاجتماعية","التسوية الودية للخلافات العمالية","https://www.hrsd.gov.sa/ministry-services/services/269970","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-LABOR-WAIT-SETTLEMENT","03-الإداري-والعمالي-والتجاري","LOW","وزارة الموارد البشرية للتسوية الودية ثم المحكمة العمالية عند تعذر الصلح.","المحكمة العمالية","متابعة التسوية الودية","","21 يوم عمل من تاريخ أول جلسة هي المدة المنشورة لمسار التسوية.","مجانية.","""""","SRC75-HRSD","وزارة الموارد البشرية والتنمية الاجتماعية","التسوية الودية للخلافات العمالية","https://www.hrsd.gov.sa/ministry-services/services/269970","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-LABOR-SETTLED","03-الإداري-والعمالي-والتجاري","LOW","وزارة الموارد البشرية للتسوية الودية ثم المحكمة العمالية عند تعذر الصلح.","المحكمة العمالية","محضر الصلح في التسوية الودية","","ضمن مسار التسوية المنشور 21 يوم عمل من أول جلسة.","الخدمة مجانية.","""""","SRC75-HRSD","وزارة الموارد البشرية والتنمية الاجتماعية","التسوية الودية للخلافات العمالية","https://www.hrsd.gov.sa/ministry-services/services/269970","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-LABOR-READ-REASON","03-الإداري-والعمالي-والتجاري","LOW","وزارة الموارد البشرية للتسوية الودية ثم المحكمة العمالية عند تعذر الصلح.","المحكمة العمالية","قراءة سبب رفض طلب التسوية","","لا توجد مهلة موحدة لهذه الخطوة المعلوماتية؛ التزم بما يظهر في الطلب.","لا رسوم.","""""","SRC75-HRSD","وزارة الموارد البشرية والتنمية الاجتماعية","التسوية الودية للخلافات العمالية","https://www.hrsd.gov.sa/ministry-services/services/269970","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-LABOR-FILE-COURT","02-القضاء-والتنفيذ-والأحوال","LOW","وزارة الموارد البشرية للتسوية الودية ثم المحكمة العمالية عند تعذر الصلح.","المحكمة العمالية","صحيفة دعوى أمام المحكمة العمالية بعد تعذر التسوية","ناجز","بعد تعذر التسوية؛ لا نضع مهلة موضوعية موحدة لكل المطالبات العمالية في هذه النتيجة.","العامل المطالب بحقوق ناشئة عن عقد العمل معفى من التكاليف القضائية وفق الاستثناء النظامي؛ وقد تختلف المعالجة إذا كان مقدم الدعوى صاحب العمل أو كان الطلب خارج نطاق الإعفاء.","""""","SRC75-HRSD","وزارة الموارد البشرية والتنمية الاجتماعية","التسوية الودية للخلافات العمالية","https://www.hrsd.gov.sa/ministry-services/services/269970","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-LABOR-LAWYER-MERITS","03-الإداري-والعمالي-والتجاري","LOW","وزارة الموارد البشرية للتسوية الودية ثم المحكمة العمالية عند تعذر الصلح.","المحكمة العمالية","تجهيز مطالبة التسوية الودية","","التسوية تستهدف الحل أو الإحالة خلال 21 يوم عمل من تاريخ أول جلسة.","التسوية المهنية مجانية وفق HRSD؛ لا تكلفة قضائية موحدة مثبتة لهذه النتيجة.","""""","SRC83-LABSET","وزارة الموارد البشرية والتنمية الاجتماعية","التسوية الودية للخلافات العمالية","https://www.hrsd.gov.sa/ministry-services/services/269970","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-DOMESTIC-START-SETTLEMENT","01-القائد-القانوني-العام","LOW","وزارة الموارد البشرية للتسوية ثم المحكمة العمالية عند تعذرها.","المحكمة العمالية","تسوية خلافات العمالة المنزلية ومن في حكمهم","","تطبق المدد والإجراءات المحددة في قواعد تسوية خلافات العمالة المنزلية؛ لا نستخدم تلقائيًا مدة التسوية المهنية العادية لكل حالة.","لا نثبت رسمًا دون نص خاص؛ المسار تسوية إدارية قبل المحكمة.","""""","SRC75-DOM","وزارة الموارد البشرية والتنمية الاجتماعية","القواعد والإجراءات المنظمة لتسوية خلافات العمالة المنزلية ومن في حكمهم","https://www.hrsd.gov.sa/knowledge-centre/decisions-and-regulations/regulation-and-procedures/%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D9%88%D8%A7%D9%84%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%86%D8%B8%D9%85%D8%A9-%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D8%A9-%D8%AE%D9%84%D8%A7%D9%81%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%84%D8%A9","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-DOMESTIC-WAIT","01-القائد-القانوني-العام","LOW","وزارة الموارد البشرية للتسوية ثم المحكمة العمالية عند تعذرها.","المحكمة العمالية","متابعة تسوية خلاف العمالة المنزلية","","بحسب القواعد المنظمة الحالية؛ لا نخلطها تلقائيًا بمدة 21 يومًا المنشورة للتسوية المهنية العامة.","لا نثبت رسومًا غير منشورة.","""""","SRC75-DOM","وزارة الموارد البشرية والتنمية الاجتماعية","القواعد والإجراءات المنظمة لتسوية خلافات العمالة المنزلية ومن في حكمهم","https://www.hrsd.gov.sa/knowledge-centre/decisions-and-regulations/regulation-and-procedures/%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D9%88%D8%A7%D9%84%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%86%D8%B8%D9%85%D8%A9-%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D8%A9-%D8%AE%D9%84%D8%A7%D9%81%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%84%D8%A9","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-DOMESTIC-SETTLED","01-القائد-القانوني-العام","LOW","وزارة الموارد البشرية للتسوية ثم المحكمة العمالية عند تعذرها.","المحكمة العمالية","محضر صلح عمالة منزلية","","وفق إجراءات التسوية المنظمة؛ لا نضع مدة سقوط للحق من عندنا.","لا نثبت رسومًا غير منشورة.","""""","SRC75-DOM","وزارة الموارد البشرية والتنمية الاجتماعية","القواعد والإجراءات المنظمة لتسوية خلافات العمالة المنزلية ومن في حكمهم","https://www.hrsd.gov.sa/knowledge-centre/decisions-and-regulations/regulation-and-procedures/%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D9%88%D8%A7%D9%84%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%86%D8%B8%D9%85%D8%A9-%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D8%A9-%D8%AE%D9%84%D8%A7%D9%81%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%84%D8%A9","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-DOMESTIC-AFTER-FAIL","01-القائد-القانوني-العام","LOW","وزارة الموارد البشرية للتسوية ثم المحكمة العمالية عند تعذرها.","المحكمة العمالية","صحيفة دعوى عمالية بعد تعذر تسوية العمالة المنزلية","","القواعد تنص على الانتقال للمحكمة عند تعذر التسوية؛ المهل الموضوعية لكل مطالبة لا نعممها هنا.","العامل المنزلي المطالب بحقوق ناشئة عن عقد العمل معفى من التكاليف القضائية وفق الاستثناء النظامي؛ وقد تختلف المعالجة للطلبات الأخرى أو إذا كان المدعي صاحب العمل.","""""","SRC75-DOM","وزارة الموارد البشرية والتنمية الاجتماعية","القواعد والإجراءات المنظمة لتسوية خلافات العمالة المنزلية ومن في حكمهم","https://www.hrsd.gov.sa/knowledge-centre/decisions-and-regulations/regulation-and-procedures/%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D9%88%D8%A7%D9%84%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%86%D8%B8%D9%85%D8%A9-%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D8%A9-%D8%AE%D9%84%D8%A7%D9%81%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%84%D8%A9","2026-09-20","REVIEWED","NEEDS_REVIEW",""
"R-GOV-EMPLOYEE-ADMIN","03-الإداري-والعمالي-والتجاري","MEDIUM","ديوان المظالم","","","منصة معين الرقمية","","","""""","SRC-BOG-MOEEN","ديوان المظالم","منصة معين الرقمية","https://www.bog.gov.sa/EServices/Pages/moen.aspx","2026-09-20","REVIEWED","NEEDS_REVIEW",""
