Source ID,Title,Authority,URL,Usage Status,Used by Results,Disposition
"SRC-BOE-LABOR-LAW","نظام العمل","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-PLEADINGS","نظام المرافعات الشرعية","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f0eaae46-9f84-40ee-815e-a9a700f268b3/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-REAL-ESTATE-BROKERAGE","نظام الوساطة العقارية","الهيئة العامة للعقار","https://rega.gov.sa/الأنظمة-والقرارات/الأنظمة-واللوائح-والأدلة/الأنظمة/نظام-الوساطة-العقارية/","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOE-SHARIA-PLEADINGS","نظام المرافعات الشرعية","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f0eaae46-9f84-40ee-815e-a9a700f268b3/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOG-APPEAL-CURRENT","طلب استئناف — منصة معين الرقمية","ديوان المظالم","https://www.bog.gov.sa/EServices/Pages/file-appeal.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOG-JUDICIAL-REQUESTS","تقديم الطلبات القضائية","ديوان المظالم","https://www.bog.gov.sa/EServices/Pages/submit-judicial-requests.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOG-PLATFORMS","المنصات القضائية الرقمية","ديوان المظالم","https://www.bog.gov.sa/EServices/Pages/platform.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BOG-SUPREME-OBJECTION","طلب اعتراض أمام المحكمة الإدارية العليا","ديوان المظالم","https://www.bog.gov.sa/EServices/Pages/file-objection-supreme-court.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-BULK-BOE_CPL","مصدر رسمي للتدقيق الشامل","جهة حكومية سعودية رسمية","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f0eaae46-9f84-40ee-815e-a9a700f268b3/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-CIV-CLAIM","صحيفة دعوى","وزارة العدل","https://moj.gov.sa/ar/eServices/Pages/928b8f02-19a7-482b-ba0e-29a151d9a900.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-CIV-TRIP","رحلة القضية في وزارة العدل","وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-EJAR-FAQ","الأسئلة الشائعة - العقد الموحد والسند التنفيذي","إيجار / الهيئة العامة للعقار","https://www.ejar.sa/ar/faqs","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-EJAR-FAQ-CURRENT","الأسئلة الشائعة - العقد الموحد والسند التنفيذي","إيجار - الهيئة العامة للعقار","https://www.ejar.sa/ar/faqs","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-FAM-PSL-OFFICIAL","نظام الأحوال الشخصية","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/4d72d829-947b-45d5-b9b5-ae5800d6bac2/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-HRSD-ABSENCE-PRIVATE","الدليل الإجرائي لإنهاء العلاقة التعاقدية — لمن ليس لديه عقد عمل موثق إلكترونيًا","وزارة الموارد البشرية والتنمية الاجتماعية","https://www.hrsd.gov.sa/knowledge-centre/decisions-and-regulations/regulation-and-procedures/الدليل-الإجرائي-لإنهاء-العلاقة-التعاقدية-لمن-ليس","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-HRSD-DOMESTIC-SETTLEMENT-2026","القواعد والإجراءات المنظمة لتسوية خلافات العمالة المنزلية ومن في حكمهم","وزارة الموارد البشرية والتنمية الاجتماعية","https://www.hrsd.gov.sa/knowledge-centre/decisions-and-regulations/regulation-and-procedures/%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D9%88%D8%A7%D9%84%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%86%D8%B8%D9%85%D8%A9-%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D8%A9-%D8%AE%D9%84%D8%A7%D9%81%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%84%D8%A9","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-HRSD-DOMESTIC-WAGE-PROTECTION-2026","حماية أجور العمالة المنزلية","وزارة الموارد البشرية والتنمية الاجتماعية","https://www.hrsd.gov.sa/ministry-services/services/%D8%AD%D9%85%D8%A7%D9%8A%D8%A9-%D8%A3%D8%AC%D9%88%D8%B1-%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%84%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84%D9%8A%D8%A9","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-HRSD-EXECUTIVE-LABOR-CONTRACT","الدليل الإرشادي لمبادرة عقد العمل الموثق سندًا تنفيذيًا","وزارة الموارد البشرية والتنمية الاجتماعية","https://www.hrsd.gov.sa/labor-culture","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-HRSD-LABOR-SETTLE-2026","التسوية الودية للخلافات العمالية","وزارة الموارد البشرية والتنمية الاجتماعية","https://www.hrsd.gov.sa/ministry-services/services/269970","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MC-FRANCHISE","قيد الامتياز التجاري (تسجيل - تعديل - إلغاء)","وزارة التجارة","https://mc.gov.sa/ar/eservices/pages/servicedetails.aspx?sid=24","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-ACK-SERVICES","الاطلاع على الإقرارات — باقة الوكالات والإقرارات في ناجز","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/34af7c85-9d0e-49ce-86cb-38b088b0529f.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-BREASTFEEDING-DOC","وزارة العدل — دليل خدمة توثيق الرضاعة عبر ناجز","وزارة العدل","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_6bf85c7c-4aa4-4d9b-824c-9019fc400ac7.pdf","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-CASE-FILING","صحيفة دعوى","وزارة العدل","https://www.moj.gov.sa/ar/eservices/pages/928b8f02-19a7-482b-ba0e-29a151d9a900.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-CASSATION","طلب النقض","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/aee148d0-b7f7-43eb-b1cf-8eabf4d8b10d.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-COMM-COURTS","محاكم الدرجة الأولى - اختصاص المحاكم التجارية","وزارة العدل","https://www.moj.gov.sa/ar/ministry/courts/pages/firstcourts.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-CRIM-COURTS","محاكم الدرجة الأولى - المحاكم الجزائية","وزارة العدل","https://www.moj.gov.sa/ar/ministry/courts/pages/firstcourts.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-CUSTODY-DOC","توثيق حضانة","وزارة العدل","https://www.moj.gov.sa/ar/eservices/pages/e2560f40-ddf8-4e37-b212-394787344aef.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-CUSTODY-EXEC","طلب خدمة حضانة","وزارة العدل","https://www.moj.gov.sa/ar/eservices/pages/739b4d6e-c736-4d27-ba3e-a6d17dd561aa.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-DEBT-ACK","وزارة العدل – الإقرار بدين","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/52de3217-7df0-4326-8f1a-8ce294cce7e2.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-DEBT-PAYMENT-ACK","وزارة العدل – الإقرار بسداد دين","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/20f22820-099f-49c2-b43d-42db8db0ac86.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-DEPOSIT-MEMO","طلب إيداع مذكرة","وزارة العدل","https://www.moj.gov.sa/ar/eservices/pages/d37abd59-ae3b-4881-9a13-4322bac124e1.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-DIVORCE-DOC","توثيق طلاق","وزارة العدل","https://moj.gov.sa/ar/eServices/Pages/0205e7ab-9006-4cc5-9c42-cc279e08a831.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-E-LITIGATION","التقاضي الإلكتروني (المرافعة الكتابية)","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/ba399a51-da43-43ba-8a34-a7e05ff7850a.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-ESTATE-AGREED","قسمة تركة اتفاقية","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/f49aa181-459d-4d5f-b48c-64d092b919e6.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-ESTATE-DIVISION","قسمة تركة اتفاقية","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/f49aa181-459d-4d5f-b48c-64d092b919e6.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-ESTATE-INVENTORY","وزارة العدل — إصدار حصر تركة","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/2841c3bc-6aea-4ef7-9c70-934c28952fd8.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-ESTATE-PLATFORM","وزارة العدل — منصة التركات","وزارة العدل","https://merath.moj.gov.sa/","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-34-GUIDE","دليل خدمة طلب إصدار قرار 34 عبر ناجز","وزارة العدل","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_4fa4ff3f-8f52-43c9-b80c-d214d8b5f79d.pdf","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-46-GUIDE","دليل خدمة طلب إصدار قرار 46 عبر ناجز","وزارة العدل","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_1d8a2b5c-38fc-43fa-ad27-0c4a8aac7e07.pdf","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-AD-INVOICE","طلب إصدار فاتورة إعلان","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/f05580e3-fadc-4227-bb2c-8500fabcf73f.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-AD-INVOICE-CURRENT","طلب إصدار فاتورة إعلان","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/f05580e3-fadc-4227-bb2c-8500fabcf73f.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-ADD-HEIR","إضافة وارث في طلبات تنفيذ مورثة","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/d3061fe4-6bad-4bc1-b38d-63217c7a76b3.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-AMEND-AMOUNT","تعديل مبلغ المطالبة","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/7b84d5eb-82aa-4b63-b06e-be92c72158ef.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-AMOUNT-CURRENT","تعديل مبلغ المطالبة","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/7b84d5eb-82aa-4b63-b06e-be92c72158ef.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-APPLY","تقديم طلب تنفيذ","وزارة العدل","https://moj.gov.sa/ar/eservices/pages/1c719954-3463-4754-85e1-1b319b937b86.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-APPLY-CURRENT","تقديم طلب تنفيذ","وزارة العدل","https://moj.gov.sa/ar/eservices/pages/1c719954-3463-4754-85e1-1b319b937b86.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-CUSTODY-LETTER","طلب إصدار خطاب حضانة - دليل ناجز","وزارة العدل","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_2c37a563-df95-416b-b229-e2d037a3e575.pdf","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-END","إنهاء طلب التنفيذ","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/152ff72e-0c8d-42b2-9f16-3f81e5cf38d2.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-FAMILY-DECISIONS","اتفاقية مستوى الخدمة — إصدار قرار حضانة وقرار زيارة","وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/SLA.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-FIN-REPORT","اتفاقية مستوى الخدمة — الاستعلام عن التقرير المالي","وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/SLA.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-GRACE","طلب إمهال - تأجيل السند التنفيذي","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/a7eef02b-d9ad-4d3f-9ad0-7b9a67399313.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-LAW","نظام التنفيذ","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/c81ba2f1-1bf1-443b-9b1c-a9a700f27110/1","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-LEGAL-REP","إدراج ممثل نظامي","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/477600c3-653d-42c7-b6ae-ac5484952123.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-LIFT46-GUIDE","طلب إصدار قرار رفع 46 — دليل ناجز","وزارة العدل","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_aec3b66e-9f50-45cc-aff2-17f162613248.pdf","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-NOTIFY-DECISION","تبليغ المنفذ ضده بصدور قرار التنفيذ","وزارة العدل","https://www.moj.gov.sa/ar/eservices/pages/notify%20enforcement%20debtor%20of%20the%20issuance%20of%20an%20enforcement%20decision.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-PAYMENT","إثبات السداد","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/0fabf9ed-05ba-497e-9e4e-1e227103fc00.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-PROOF-PAYMENT","إثبات السداد","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/0fabf9ed-05ba-497e-9e4e-1e227103fc00.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-QUERY","استعلام عن طلب تنفيذ","وزارة العدل","https://moj.gov.sa/ar/eServices/Pages/9bd2e276-3110-4e32-a00e-330de0fec9a4.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-REACTIVATE","طلب إعادة تفعيل طلب تنفيذ بعد انتهاء مدة الإمهال","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/42bc9d16-70e4-43ad-bb8d-0a8e156ffb72.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-REACTIVATE-CURRENT","طلب إعادة تفعيل طلب تنفيذ بعد انتهاء مدة الإمهال","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/42bc9d16-70e4-43ad-bb8d-0a8e156ffb72.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-SADAD-INVOICE","طلب إصدار فاتورة سداد","وزارة العدل","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_f960150a-e7d9-40a8-835a-cdffe08d96a5.pdf","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-SLA","اتفاقية مستوى الخدمة - خدمات التنفيذ","وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/SLA.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-TRANSFER","طلب تحويل مبلغ محجوز","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/9bc63703-4291-4cc6-9615-ac15a3cfce36.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-TRANSFER-SEIZED-CURRENT","طلب تحويل مبلغ محجوز","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/9bc63703-4291-4cc6-9615-ac15a3cfce36.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXEC-VISIT-LETTER","طلب إصدار خطاب زيارة","وزارة العدل","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_a4dccf2e-bd5c-4bcc-8320-9add6037e783.pdf","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-EXPERT","طلب الخبرة","وزارة العدل","https://www.moj.gov.sa/ar/eservices/pages/fbe131b9-406f-4fae-9438-64e2f259e3e8.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-FAMILY-DISPUTE-ENTRY","منصة تراضي + صحيفة الدعوى","وزارة العدل","https://taradhi.moj.gov.sa/ServiceUsage","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-FAMILY-SHAML","حقوق الطفل والأسرة — مبادرة شمل","وزارة العدل","https://www.moj.gov.sa/ar/Ministry/WeCare/Pages/ChildAndFamilyRights.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-FINANCIAL-ACK-WAIVERS","وزارة العدل – خدمات الإقرارات المالية في ناجز","وزارة العدل","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_55491383-8acb-4671-90f3-0850fb87b85a.pdf","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-FIRST-COURTS-REAL","محاكم الدرجة الأولى - اختصاص المحاكم العامة في الدعاوى العقارية","وزارة العدل","https://moj.gov.sa/ar/Ministry/Courts/Pages/FirstCourts.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-FIRST-DEFENSE","طلب مذكرة الدفاع الأولى","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/bcdcda2b-1b77-428b-ae80-0dfc04bf07fa.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-HEARING-CALENDAR","عرض تقويم الجلسات","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/325bf81f-b6a5-4891-92b3-fc25298fb242.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-HEIRS","إصدار حصر الورثة","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/17b08d90-809c-45cf-bd41-9eb8d15fabcb.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-HEIRS-DIGITIZE","طلب رقمنة وثيقة حصر الورثة","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/f8cc5fe9-1957-41e5-a2d9-7ebad1e25ff3.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-INHAAT","إصدار حصر الورثة — وزارة العدل","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/17b08d90-809c-45cf-bd41-9eb8d15fabcb.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-INHERITANCE-CALC","حساب المواريث","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/7f678c3b-6251-439e-ab04-64638df6635f.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-INHERITANCE-PLATFORM","منصة التركات — حصر الورثة وحصر التركة وقسمة التركة","وزارة العدل","https://merath.moj.gov.sa/","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-INHERITANCE-RENUNCIATION","الإقرار بالتنازل عن حصة إرثية","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/f67eca8c-bdfc-419e-8815-8b28a1c1d464.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-INTERVENTION","طلب التدخل","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/f0778b45-0b49-4612-aef8-42e432d3b773.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-JOIN","طلب الإدخال","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/6d7b2dff-62e9-4d1e-b125-d6cc7d1cc1eb.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-JUDGMENT-CORRECT-INTERPRET","طلب تصحيح الحكم أو تفسيره","وزارة العدل","https://www.moj.gov.sa/ar/eservices/pages/3f275eb8-cf00-4a70-9e1d-e7aa2256bd75.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-JUDICIAL-COSTS","التكاليف القضائية","وزارة العدل","https://www.moj.gov.sa/ar/eservices/pages/143507f9-e5db-4423-a0c1-9f489c6c3893.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-JUDICIAL-REQUESTS-SLA","اتفاقية مستوى الخدمة — خدمات القضاء في ناجز","وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/SLA.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-KHULA-DOC","توثيق خلع — وزارة العدل","وزارة العدل","https://www.moj.gov.sa/Documents/Sharing/ElectronicJudicialServices2.pdf","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-MAINT-DEDUCT","تنفيذ الاستقطاع","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/0756dde6-14de-481a-a6e6-ec9bd642b284.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-MARRIAGE-NEW","وزارة العدل — إنشاء عقد زواج","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/3e5e8e63-9a67-4ada-bafb-b16bb6b9f3fd.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-MARRIAGE-NONSAUDI","وزارة العدل — توثيق زواج أحد الزوجين غير سعودي","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/c5586468-24ca-47e2-81b6-625813dcfba2.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-MARRIAGE-PAPER-ATTEST","وزارة العدل — تصديق عقد زواج","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/6f961e87-0b95-484a-9af7-055aeaf121c0.aspx","UNUSED / RESERVED","0","Retained; not presented by any current Result"
"SRC-MOJ-MARRIAGE-PREVIOUS","وزارة العدل — توثيق زواج سابق","وزارة العدل","https://www.moj.gov.sa/sites/knowledgebase/Documents02/CRM_CCTS_6815673a-0b49-484b-b9b5-069b557d9827.pdf","UNUSED / RESERVED","0","Retained; not presented by any current Result"
